"data_product_id","name","tags","product_metadata"
e73e30222cd0ed412a79a0804ecd38f1,test1,"","{""metadata"":[{""domain_id"":4,""fieldName"":""territoryID"",""businessName"":""territoryID"",""businessDescription"":""territoryID"",""dataType"":""integer"",""schema"":""northwind"",""table"":""employee_territories"",""id"":1,""recommendedSensitivity"":""public"",""dataDomain"":""Address"",""recomendedSensitivity"":""public""},{""domain_id"":5,""fieldName"":""region"",""businessName"":""region"",""businessDescription"":""region"",""dataType"":""string"",""schema"":""northwind"",""table"":""employees"",""id"":2,""recommendedSensitivity"":""public"",""dataDomain"":""Coordinates"",""recomendedSensitivity"":""public""},{""domain_id"":5,""fieldName"":""country"",""businessName"":""country"",""businessDescription"":""country"",""dataType"":""string"",""schema"":""northwind"",""table"":""employees"",""id"":3,""recommendedSensitivity"":""public"",""dataDomain"":""Coordinates"",""recomendedSensitivity"":""public""}]}"
"7b1d9bce9bffcbb8c62c8fb4b3dea2da",DP1 13_03,"[""TEST""]","{""metadata"":[{""domain_id"":89,""fieldName"":""c_custkey"",""businessName"":""customer_key"",""businessDescription"":""key is manddatory for the customer to verify "",""dataType"":""integer"",""id"":1,""recomendedSensitivity"":""internal"",""dataDomain"":""Number""},{""domain_id"":88,""fieldName"":""c_mktsegment"",""businessName"":""c_mktsegment"",""businessDescription"":""c_mktsegment"",""dataType"":""string"",""id"":2,""recomendedSensitivity"":""public"",""dataDomain"":""String""}]}"
a4e19f89bdc9b96d0867713591631dc6,test-dataproduct001,"[""Test""]","{""metadata"":[]}"
"073afc4d623905096dc093732a050442",test-data-01,"[""Test"", ""NEW""]","{""metadata"":[{""domain_id"":0,""fieldName"":""O_ORDERSTATUS"",""businessName"":""STATUS"",""businessDescription"":""status of order"",""dataType"":""VARCHAR"",""id"":1,""recommendedSensitivity"":""public""},{""domain_id"":0,""fieldName"":""O_ORDERKEY"",""businessName"":""primary key"",""businessDescription"":""primary key of the table"",""dataType"":""BIGINT"",""id"":2,""recommendedSensitivity"":""public""}]}"
"63456ab82912afd85fa51c13f5fcd8ec",test da,"[""Test""]","{""metadata"":[]}"
"63456ab82912afd85fa51c13f5fcd8ectr",test data product456,"[""Test""]","{""metadata"":[{""fieldName"":""id"",""businessName"":""id"",""businessDescription"":""id"",""dataType"":""NUMBER"",""dataDomain"":""String"",""id"":1,""recommendedSensitivity"":""public"",""domain_id"":88},{""fieldName"":""email"",""businessName"":""email"",""businessDescription"":""email"",""dataType"":""VARCHAR"",""dataDomain"":""Email"",""dataQuality"":""50.0"",""id"":2,""recommendedSensitivity"":""public"",""domain_id"":2},{""fieldName"":""gender"",""businessName"":""gender"",""businessDescription"":""gender"",""dataType"":""VARCHAR"",""dataDomain"":""Gender"",""id"":3,""recommendedSensitivity"":""public"",""domain_id"":29}]}"
"14b586b08fc3a76e857424232c789f68",Test dp,"[""Test""]","{""metadata"":[]}"
"1d85b7f9fd933a051b502c3f4c5b3e4d",data_product_001,"[""Test""]","{""metadata"":[{""domain_id"":88,""fieldName"":""C_PHONE"",""businessName"":""C_PHONE"",""businessDescription"":""C_PHONE"",""dataType"":""varchar"",""dataDomain"":""String"",""dataQuality"":""50.5"",""id"":1},{""domain_id"":88,""fieldName"":""O_ORDERKEY"",""businessName"":""O_ORDERKEY"",""businessDescription"":""O_ORDERKEY"",""dataType"":""int"",""dataDomain"":""String"",""id"":2},{""domain_id"":13,""fieldName"":""O_CUSTKEY"",""businessName"":""O_CUSTKEY"",""businessDescription"":""O_CUSTKEY"",""dataType"":""int"",""dataDomain"":""US zip code"",""id"":3},{""domain_id"":88,""fieldName"":""O_ORDERSTATUS"",""businessName"":""O_ORDERSTATUS"",""businessDescription"":""O_ORDERSTATUS"",""dataType"":""varchar"",""dataDomain"":""String"",""dataQuality"":""50.5"",""id"":4},{""domain_id"":88,""fieldName"":""O_TOTALPRICE"",""businessName"":""O_TOTALPRICE"",""businessDescription"":""O_TOTALPRICE"",""dataType"":""decimal"",""dataDomain"":""String"",""id"":5},{""domain_id"":36,""fieldName"":""O_ORDERDATE"",""businessName"":""O_ORDERDATE"",""businessDescription"":""O_ORDERDATE"",""dataType"":""date"",""dataDomain"":""Date"",""id"":6},{""domain_id"":88,""fieldName"":""O_ORDERPRIORITY"",""businessName"":""O_ORDERPRIORITY"",""businessDescription"":""O_ORDERPRIORITY"",""dataType"":""varchar"",""dataDomain"":""String"",""dataQuality"":""50.5"",""id"":7},{""domain_id"":88,""fieldName"":""O_CLERK"",""businessName"":""O_CLERK"",""businessDescription"":""O_CLERK"",""dataType"":""varchar"",""dataDomain"":""String"",""dataQuality"":""50.5"",""id"":8},{""domain_id"":88,""fieldName"":""O_SHIPPRIORITY"",""businessName"":""O_SHIPPRIORITY"",""businessDescription"":""O_SHIPPRIORITY"",""dataType"":""int"",""dataDomain"":""String"",""id"":9},{""domain_id"":88,""fieldName"":""O_COMMENT"",""businessName"":""O_COMMENT"",""businessDescription"":""O_COMMENT"",""dataType"":""varchar"",""dataDomain"":""String"",""dataQuality"":""50.5"",""id"":10},{""domain_id"":88,""fieldName"":""C_NAME"",""businessName"":""C_NAME"",""businessDescription"":""C_NAME"",""dataType"":""varchar"",""dataDomain"":""String"",""dataQuality"":""50.5"",""id"":11}]}"
"76cadbba9bb5311ebc9128a06d890b94",data_product_001,"[""Test""]","{""metadata"":[{""fieldName"":""C_PHONE"",""businessName"":""C_PHONE"",""businessDescription"":""C_PHONE"",""dataType"":""varchar"",""dataDomain"":""String""},{""fieldName"":""O_ORDERKEY"",""businessName"":""O_ORDERKEY"",""businessDescription"":""O_ORDERKEY"",""dataType"":""int"",""dataDomain"":""String""},{""fieldName"":""O_CUSTKEY"",""businessName"":""O_CUSTKEY"",""businessDescription"":""O_CUSTKEY"",""dataType"":""int"",""dataDomain"":""US zip code""},{""fieldName"":""O_ORDERSTATUS"",""businessName"":""O_ORDERSTATUS"",""businessDescription"":""O_ORDERSTATUS"",""dataType"":""varchar"",""dataDomain"":""String""},{""fieldName"":""O_TOTALPRICE"",""businessName"":""O_TOTALPRICE"",""businessDescription"":""O_TOTALPRICE"",""dataType"":""decimal"",""dataDomain"":""String""},{""fieldName"":""O_ORDERDATE"",""businessName"":""O_ORDERDATE"",""businessDescription"":""O_ORDERDATE"",""dataType"":""date"",""dataDomain"":""Date""},{""fieldName"":""O_ORDERPRIORITY"",""businessName"":""O_ORDERPRIORITY"",""businessDescription"":""O_ORDERPRIORITY"",""dataType"":""varchar"",""dataDomain"":""String""},{""fieldName"":""O_CLERK"",""businessName"":""O_CLERK"",""businessDescription"":""O_CLERK"",""dataType"":""varchar"",""dataDomain"":""String""},{""fieldName"":""O_SHIPPRIORITY"",""businessName"":""O_SHIPPRIORITY"",""businessDescription"":""O_SHIPPRIORITY"",""dataType"":""int"",""dataDomain"":""String""},{""fieldName"":""O_COMMENT"",""businessName"":""O_COMMENT"",""businessDescription"":""O_COMMENT"",""dataType"":""varchar"",""dataDomain"":""String""},{""fieldName"":""C_NAME"",""businessName"":""C_NAME"",""businessDescription"":""C_NAME"",""dataType"":""varchar"",""dataDomain"":""String""}]}"
a042a76620b3cb90e691507c010427fc,,"","{""metadata"":[{""fieldName"":""C_CUSTKEY"",""businessName"":""CUSTOMER KEY"",""businessDescription"":""customer id"",""dataType"":""bigint"",""dataDomain"":""String"",""id"":1,""recommendedSensitivity"":""public"",""domain_id"":88},{""fieldName"":""C_NAME"",""businessName"":""CUSTOMER NAME"",""businessDescription"":""CUSTOMER NAME"",""dataType"":""varchar"",""dataDomain"":""String"",""id"":2,""recommendedSensitivity"":""public"",""domain_id"":88},{""fieldName"":""C_ADDRESS"",""businessName"":""C_ADDRESS"",""businessDescription"":""address"",""dataType"":""varchar"",""dataDomain"":""String"",""id"":3,""recommendedSensitivity"":""public"",""domain_id"":88},{""fieldName"":""C_NATIONKEY"",""businessName"":""C_NATIONKEY"",""businessDescription"":""NATION KEY "",""dataType"":""bigint"",""dataDomain"":""String"",""id"":4,""recommendedSensitivity"":""public"",""domain_id"":88},{""fieldName"":""C_PHONE"",""businessName"":""C_PHONE"",""businessDescription"":""C_PHONE"",""dataType"":""varchar"",""dataDomain"":""String"",""id"":5,""recommendedSensitivity"":""public"",""domain_id"":88},{""fieldName"":""C_ACCTBAL"",""businessName"":""C_ACCTBAL"",""businessDescription"":""account balance"",""dataType"":""real"",""dataDomain"":""String"",""id"":6,""recommendedSensitivity"":""public"",""domain_id"":88},{""fieldName"":""C_MKTSEGMENT"",""businessName"":""C_MKTSEGMENT"",""businessDescription"":""fbfdbbrfe"",""dataType"":""varchar"",""dataDomain"":""String"",""id"":7,""recommendedSensitivity"":""highly restricted"",""domain_id"":88},{""fieldName"":""C_COMMENT"",""businessName"":""C_COMMENT"",""businessDescription"":""comment"",""dataType"":""varchar"",""dataDomain"":""String"",""id"":8,""recommendedSensitivity"":""public"",""domain_id"":88}]}"
d655ab6f90a2ab9720dd2f0fa8f17326,,"","{""metadata"":[{""fieldName"":""R_REGIONKEY"",""businessName"":""R_REGIONKEY"",""businessDescription"":""R_REGIONKEY"",""dataType"":""int"",""dataDomain"":""String"",""id"":1,""recommendedSensitivity"":""public"",""domain_id"":88},{""fieldName"":""R_NAME"",""businessName"":""R_NAME"",""businessDescription"":""R_NAME"",""dataType"":""varchar"",""dataDomain"":""String"",""dataQuality"":""50.5"",""id"":2,""recommendedSensitivity"":""restricted"",""domain_id"":88},{""fieldName"":""R_COMMENT"",""businessName"":""R_COMMENT"",""businessDescription"":""R_COMMENT"",""dataType"":""varchar"",""dataDomain"":""String"",""dataQuality"":""50.5"",""id"":3,""recommendedSensitivity"":""public"",""domain_id"":88}]}"
"2dbef3b2a1f53f40b357c9e7652630fa",supply chain product,"[""Test""]","{""metadata"":[]}"
"0ba3f6998c55ef001d8e03feec37360a",Supplier data product,"[""test""]","{""metadata"":[{""fieldName"":""S_SUPPKEY"",""businessName"":""S_SUPPKEY"",""businessDescription"":""S_SUPPKEY"",""dataType"":""integer""},{""fieldName"":""S_NAME"",""businessName"":""S_NAME"",""businessDescription"":""S_NAME"",""dataType"":""string""},{""fieldName"":""S_ADDRESS"",""businessName"":""S_ADDRESS"",""businessDescription"":""S_ADDRESS"",""dataType"":""string""},{""fieldName"":""S_NATIONKEY"",""businessName"":""S_NATIONKEY"",""businessDescription"":""S_NATIONKEY"",""dataType"":""integer""},{""fieldName"":""S_PHONE"",""businessName"":""S_PHONE"",""businessDescription"":""S_PHONE"",""dataType"":""string""},{""fieldName"":""S_ACCTBAL"",""businessName"":""S_ACCTBAL"",""businessDescription"":""S_ACCTBAL"",""dataType"":""integer""},{""fieldName"":""S_COMMENT"",""businessName"":""S_COMMENT"",""businessDescription"":""S_COMMENT"",""dataType"":""string""}]}"
ebbceb00dbcea78efde78ff7d22b0174,BM_Model-001,"[""Test""]","{""metadata"":[{""fieldName"":""c_custkey"",""businessName"":""customer_key"",""businessDescription"":""key is manddatory for the customer to verify "",""dataType"":""integer""},{""fieldName"":""c_name"",""businessName"":""name of the customer"",""businessDescription"":""name is mandatory"",""dataType"":""string""},{""fieldName"":""c_address"",""businessName"":""address"",""businessDescription"":""c_address"",""dataType"":""string""},{""fieldName"":""c_nationkey"",""businessName"":""c_nationkey"",""businessDescription"":""c_nationkey"",""dataType"":""integer""},{""fieldName"":""c_phone"",""businessName"":""c_phone"",""businessDescription"":""c_phone"",""dataType"":""string""},{""fieldName"":""c_acctbal"",""businessName"":""c_acctbal"",""businessDescription"":""c_acctbal"",""dataType"":""decimal""},{""fieldName"":""c_mktsegment"",""businessName"":""c_mktsegment"",""businessDescription"":""c_mktsegment"",""dataType"":""string""},{""fieldName"":""c_comment"",""businessName"":""c_comment"",""businessDescription"":""c_comment"",""dataType"":""string""}]}"
"323cdeee9532073524fb3ffc9d503ac1",data product-001,"[""Test""]","{""metadata"":[{""fieldName"":""c_custkey"",""businessName"":""customer_key"",""businessDescription"":""key is manddatory for the customer to verify "",""dataType"":""integer""},{""fieldName"":""c_name"",""businessName"":""name of the customer"",""businessDescription"":""name is mandatory"",""dataType"":""string""},{""fieldName"":""c_address"",""businessName"":""address"",""businessDescription"":""c_address"",""dataType"":""string""},{""fieldName"":""c_nationkey"",""businessName"":""c_nationkey"",""businessDescription"":""c_nationkey"",""dataType"":""integer""},{""fieldName"":""c_phone"",""businessName"":""c_phone"",""businessDescription"":""c_phone"",""dataType"":""string""},{""fieldName"":""c_acctbal"",""businessName"":""c_acctbal"",""businessDescription"":""c_acctbal"",""dataType"":""decimal""},{""fieldName"":""c_mktsegment"",""businessName"":""c_mktsegment"",""businessDescription"":""c_mktsegment"",""dataType"":""string""},{""fieldName"":""c_comment"",""businessName"":""c_comment"",""businessDescription"":""c_comment"",""dataType"":""string""}]}"
